仕様ID,機能/カテゴリ,確認内容,台帳状態,MVP前後,対応テストファイル,実行コマンド,試験種別,試験結果,結果詳細,実施日,備考（実行記録）
REPORT_RUN_SUMMARY,（メタ）本ファイルの実行サマリ,unit: OK 60 tests; integration: OK 44 tests; staging: npm run test:staging: Tests 11 passed (11),,,,,記録,OK（主要自動）,詳細は各仕様行の結果詳細列,2026-04-22,node scripts/generate-mvp-testspec-execution-report.mjs
AL-001,管理アクセス制御,未ログインで保護 URL にアクセスするとログインへ,手動のみ,必須,,,manual,未実施,MVP ではブラウザ／Release_Gate 等の手動確認にて合格とする（本 CSV の自動判定では未実施扱い）,2026-04-22,自動生成 scripts/generate-mvp-testspec-execution-report.mjs
AL-002,管理アクセス制御,ログイン済みだが app_admins に無いユーザーは保護ページ不可,手動のみ,必須,,,manual,未実施,MVP ではブラウザ／Release_Gate 等の手動確認にて合格とする（本 CSV の自動判定では未実施扱い）,2026-04-22,自動生成 scripts/generate-mvp-testspec-execution-report.mjs
AL-003,管理アクセス制御,app_admins ユーザーは保護ページが表示される,手動のみ,必須,,,manual,未実施,MVP ではブラウザ／Release_Gate 等の手動確認にて合格とする（本 CSV の自動判定では未実施扱い）,2026-04-22,自動生成 scripts/generate-mvp-testspec-execution-report.mjs
MVP-DASH-400,管理ダッシュボード,after 欠落または暦日無効は 400,完了,必須,tests/staging/staging-smoke.staging.test.ts,npm run test:staging,staging,OK,npm run test:staging: Tests 11 passed (11),2026-04-22,自動生成 scripts/generate-mvp-testspec-execution-report.mjs
MVP-DASH-200,管理ダッシュボード,after より後に開催日なしは day null／ありは 1 件,一部,任意,tests/staging/staging-smoke.staging.test.ts,npm run test:staging,staging,OK,npm run test:staging: Tests 11 passed (11),2026-04-22,自動生成 scripts/generate-mvp-testspec-execution-report.mjs
API-ED-001,公開カレンダー,acceptingReservations は status=open かつ締切未来のみ true,完了,必須,tests/staging/staging-smoke.staging.test.ts,npm run test:staging,staging,OK,npm run test:staging: Tests 11 passed (11),2026-04-22,自動生成 scripts/generate-mvp-testspec-execution-report.mjs
API-AV-001,公開カレンダー,日付形式不正は 400、該当なしは 404,完了,必須,tests/staging/staging-smoke.staging.test.ts,npm run test:staging,staging,OK,npm run test:staging: Tests 11 passed (11),2026-04-22,自動生成 scripts/generate-mvp-testspec-execution-report.mjs
RSV-001,公開予約,確認へ進む前に必須未入力（枠未選択）で止まる,手動のみ,必須,,,manual,未実施,MVP ではブラウザ／Release_Gate 等の手動確認にて合格とする（本 CSV の自動判定では未実施扱い）,2026-04-22,自動生成 scripts/generate-mvp-testspec-execution-report.mjs
RSV-002,公開予約,参加人数が 1 未満または非整数で止まる,手動のみ,必須,,,manual,未実施,MVP ではブラウザ／Release_Gate 等の手動確認にて合格とする（本 CSV の自動判定では未実施扱い）,2026-04-22,自動生成 scripts/generate-mvp-testspec-execution-report.mjs
RSV-003,公開予約,昼食合計数量 0（全メニュー 0）で止まる,手動のみ,必須,,,manual,未実施,MVP ではブラウザ／Release_Gate 等の手動確認にて合格とする（本 CSV の自動判定では未実施扱い）,2026-04-22,自動生成 scripts/generate-mvp-testspec-execution-report.mjs
RSV-006,公開予約,p_lunch_items の数量合計が participant_count を上回っても create_public_reservation が success（明細が DB に保持される）,完了,任意,tests/integration/public-reservation-rpc.integration.test.ts,npm run test:integration,integration,OK,npm run test:integration（44 tests passed）,2026-04-22,自動生成 scripts/generate-mvp-testspec-execution-report.mjs
RSV-010,公開予約,正常入力で 201・sessionStorage・/reserve/complete 遷移,一部,必須,tests/integration/public-reservation-rpc.integration.test.ts,npm run test:integration（RPC）/ 手動で UI,integration,OK（自動部）,npm run test:integration（44 tests passed）。UI・sessionStorage・画面遷移は手動未実施,2026-04-22,自動生成 scripts/generate-mvp-testspec-execution-report.mjs
RSV-011,公開予約,二重送信: submitting 中は連打しても fetch が重複しない,手動のみ,任意,,,manual,未実施,ブラウザ／チェックリスト手動（本レポートでは未実施）,2026-04-22,自動生成 scripts/generate-mvp-testspec-execution-report.mjs
RSV-020,公開予約,締切後は 409（event_not_open / deadline_passed）,完了,必須,tests/integration/public-reservation-rpc.integration.test.ts,npm run test:integration,integration,OK,npm run test:integration（44 tests passed）,2026-04-22,自動生成 scripts/generate-mvp-testspec-execution-report.mjs
RSV-021,公開予約,満枠・枠ロックは 409（slot_full / slot_locked / day_full）,一部,必須,tests/integration/public-reservation-rpc.integration.test.ts,npm run test:integration,integration,OK（一部）,npm run test:integration（44 tests passed）。day_full・slot_locked を確認（slot_full は seed 依存）,2026-04-22,自動生成 scripts/generate-mvp-testspec-execution-report.mjs
RSV-022,公開予約,POST /api/reservations で UUID 形式不正は 422、存在しない開催日・枠は 404,一部,必須,tests/integration/public-reservation-post-route.integration.test.ts,npm run test:integration,integration,OK,npm run test:integration（44 tests passed）。422×2・404×1,2026-04-22,自動生成 scripts/generate-mvp-testspec-execution-report.mjs
RSV-023,公開予約,draft 等（公開ステータス外）は RPC で受付不可,完了,必須,tests/integration/public-reservation-rpc.integration.test.ts,npm run test:integration,integration,OK,npm run test:integration（44 tests passed）,2026-04-22,自動生成 scripts/generate-mvp-testspec-execution-report.mjs
TK-001,予約トークン,形式不正トークンは 404,完了,必須,tests/staging/staging-smoke.staging.test.ts,npm run test:staging,staging,OK,npm run test:staging: Tests 11 passed (11),2026-04-22,自動生成 scripts/generate-mvp-testspec-execution-report.mjs
TK-002,予約トークン,締切後 PATCH は拒否（HTTP と DB 無変更）,完了,必須,tests/integration/reservation-token-patch.integration.test.ts,npm run test:integration,integration,OK,npm run test:integration（44 tests passed）,2026-04-22,自動生成 scripts/generate-mvp-testspec-execution-report.mjs
CK-001,締切Cron（JOB01）,Bearer 不一致は 401（再実行含め毎回検証）,一部,必須,tests/staging/staging-smoke.staging.test.ts,npm run test:staging,staging,OK,npm run test:staging: Tests 11 passed (11),2026-04-22,自動生成 scripts/generate-mvp-testspec-execution-report.mjs
CK-002,締切Cron（JOB01）,CRON_SECRET 未設定または短すぎると 503,完了,必須,tests/integration/cron-lock-route.integration.test.ts,npm run test:integration,integration,OK,npm run test:integration（44 tests passed）,2026-04-22,自動生成 scripts/generate-mvp-testspec-execution-report.mjs
CK-003,締切Cron（JOB01）,対象 open かつ締切済みが 0 件のときは配列空で成功,完了,必須,tests/integration/cron-lock-event-days-db.integration.test.ts,npm run test:integration,integration,OK,npm run test:integration（44 tests passed）,2026-04-22,自動生成 scripts/generate-mvp-testspec-execution-report.mjs
CK-010,締切Cron（JOB01）,締切前の open はクエリ対象外（更新なし）,完了,必須,tests/integration/cron-lock-event-days-db.integration.test.ts,npm run test:integration,integration,OK,npm run test:integration（44 tests passed）,2026-04-22,自動生成 scripts/generate-mvp-testspec-execution-report.mjs
CK-011,締切Cron（JOB01）,締切後・active 数 < 3 → cancelled_minimum と通知フロー,一部,必須,tests/integration/cron-lock-event-days-db.integration.test.ts,npm run test:integration,integration,OK,npm run test:integration（44 tests passed）。cancelled_minimum を確認。RESEND 未設定時はメール送信スキップ（ログのみ）,2026-04-22,自動生成 scripts/generate-mvp-testspec-execution-report.mjs
CK-012,締切Cron（JOB01）,締切後・active 数 >= 3 → locked（JOB02 前提）,完了,必須,tests/integration/cron-lock-event-days-db.integration.test.ts,npm run test:integration,integration,OK,npm run test:integration（44 tests passed）,2026-04-22,自動生成 scripts/generate-mvp-testspec-execution-report.mjs
CK-021,締切Cron（JOB01）,冪等: 2 回目の Cron は open+締切済みが無ければ両配列 0,完了,必須,tests/integration/cron-lock-event-days-db.integration.test.ts,npm run test:integration,integration,OK,npm run test:integration（44 tests passed）,2026-04-22,自動生成 scripts/generate-mvp-testspec-execution-report.mjs
TC-EX-CU-OK,管理API｜締切catchup,applyReservationDeadlineCatchup: ok locked or minimum,手動のみ,必須,,,manual,未実施,ブラウザ／チェックリスト手動（本レポートでは未実施）,2026-04-22,自動生成 scripts/generate-mvp-testspec-execution-report.mjs
RM-001,締切後自動編成（JOB02）,認証は lock-event-days と同様（401/503）,完了,必須,tests/integration/cron-run-matching-locked-db.integration.test.ts,npm run test:integration,integration,OK,npm run test:integration（44 tests passed）,2026-04-22,自動生成 scripts/generate-mvp-testspec-execution-report.mjs
RM-010,締切後自動編成（JOB02）,locked かつ event_date >= 東京今日 が 0 件,完了,必須,tests/integration/cron-run-matching-locked-db.integration.test.ts,npm run test:integration,integration,OK,npm run test:integration（44 tests passed）,2026-04-22,自動生成 scripts/generate-mvp-testspec-execution-report.mjs
RM-011,締切後自動編成（JOB02）,1 日分 ok:true で matchingRunId・assignmentCount が返る,完了,必須,tests/integration/cron-run-matching-locked-db.integration.test.ts,npm run test:integration,integration,OK,npm run test:integration（44 tests passed）,2026-04-22,自動生成 scripts/generate-mvp-testspec-execution-report.mjs
RM-012,締切後自動編成（JOB02）,already_matched / not_locked は results で ok:true skipped,必須,,tests/integration/cron-run-matching-locked-db.integration.test.ts,npm run test:integration,integration,OK,npm run test:integration（44 tests passed）,2026-04-22,自動生成 scripts/generate-mvp-testspec-execution-report.mjs
RM-013,締切後自動編成（JOB02）,上記以外の失敗は results で ok:false + error,完了,任意,tests/integration/cron-run-matching-locked-rm013.integration.test.ts,npm run test:integration,integration,OK,npm run test:integration（44 tests passed）,2026-04-22,自動生成 scripts/generate-mvp-testspec-execution-report.mjs
TC-EX-CR-MP-06,Cron｜マッチング案内（内部分岐）,送信後 notifications.status が sent,完了,任意,tests/integration/cron-send-matching-proposal.integration.test.ts,npm run test:integration,integration,OK,npm run test:integration（44 tests passed）,2026-04-22,自動生成 scripts/generate-mvp-testspec-execution-report.mjs
TC-EX-CR-MP-07,Cron｜マッチング案内（内部分岐）,送信後 status が failed,完了,任意,tests/integration/cron-send-matching-proposal.integration.test.ts,npm run test:integration,integration,OK,npm run test:integration（44 tests passed）,2026-04-22,自動生成 scripts/generate-mvp-testspec-execution-report.mjs
NF-010,通知・メール,JOB03: 認証失敗は 401/503。成功時は summary に sent/skipped/failed,完了,任意,tests/integration/cron-send-day-before-final.integration.test.ts,npm run test:integration,integration,OK,npm run test:integration（44 tests passed）,2026-04-22,自動生成 scripts/generate-mvp-testspec-execution-report.mjs
TC-EX-CR-DBF-07,Cron｜前日最終（内部分岐）,variant=held（status confirmed）,完了,任意,tests/integration/cron-send-day-before-final.integration.test.ts,npm run test:integration,integration,OK,npm run test:integration（44 tests passed）,2026-04-22,自動生成 scripts/generate-mvp-testspec-execution-report.mjs
TC-EX-CR-DBF-10,Cron｜前日最終（内部分岐）,variant=pending_matching（status locked）,完了,任意,tests/integration/cron-send-day-before-final.integration.test.ts,npm run test:integration,integration,OK,npm run test:integration（44 tests passed）,2026-04-22,自動生成 scripts/generate-mvp-testspec-execution-report.mjs
NF-001,通知・メール,failed を pending に戻し再送可能,完了,任意,tests/integration/admin-weather-op-notification-retry.integration.test.ts,npm run test:integration,integration,OK,npm run test:integration（44 tests passed）,2026-04-22,自動生成 scripts/generate-mvp-testspec-execution-report.mjs
MVP-NOTIF-401,通知一覧,未認証 GET /api/admin/notifications は 401,完了,必須,tests/staging/staging-smoke.staging.test.ts,npm run test:staging,staging,OK,npm run test:staging: Tests 11 passed (11),2026-04-22,自動生成 scripts/generate-mvp-testspec-execution-report.mjs
TC-EX-NR-200S,管理API｜notifications retry,再送結果 sent（lib）,NF-001 と併せて admin 再送を担保,完了,tests/integration/admin-weather-op-notification-retry.integration.test.ts（NF-001 同一 it）,npm run test:integration,integration,OK,npm run test:integration（44 tests passed）,2026-04-22,自動生成 scripts/generate-mvp-testspec-execution-report.mjs
CHK-001,管理API｜checkins,【MVP対象外】当日チェックインを新規登録できる,対象外,任意,,,対象外,N/A,MVP 対象外（checkins API 未実装・予定なし）。行は比較用に維持,2026-04-22,自動生成 scripts/generate-mvp-testspec-execution-report.mjs
CHK-002,管理API｜checkins,【MVP対象外】同一開催日・同一チームの再登録は upsert,対象外,任意,,,対象外,N/A,MVP 対象外（checkins API 未実装・予定なし）。行は比較用に維持,2026-04-22,自動生成 scripts/generate-mvp-testspec-execution-report.mjs
MRG-001,管理API｜team-merge,source team を target team へ統合できる,手動のみ,任意,,,manual,未実施,ブラウザ／チェックリスト手動（本レポートでは未実施）,2026-04-22,自動生成 scripts/generate-mvp-testspec-execution-report.mjs
TC-EX-WX-200GO,管理API｜weather-decision,go 正常,完了,任意,tests/integration/admin-weather-op-notification-retry.integration.test.ts,npm run test:integration,integration,OK,npm run test:integration（44 tests passed）,2026-04-22,自動生成 scripts/generate-mvp-testspec-execution-report.mjs
TC-EX-WX-200CIM,管理API｜weather-decision,cancel immediate 正常,完了,任意,tests/integration/admin-weather-op-notification-retry.integration.test.ts,npm run test:integration,integration,OK,npm run test:integration（44 tests passed）,2026-04-22,自動生成 scripts/generate-mvp-testspec-execution-report.mjs
TC-EX-WX-200CDB,管理API｜weather-decision,cancel day_before_17 フラグ,完了,任意,tests/integration/admin-weather-op-notification-retry.integration.test.ts,npm run test:integration,integration,OK,npm run test:integration（44 tests passed）,2026-04-22,自動生成 scripts/generate-mvp-testspec-execution-report.mjs
TC-EX-OP-200,管理API｜operational-cancel,正常中止,完了,任意,tests/integration/admin-weather-op-notification-retry.integration.test.ts,npm run test:integration,integration,OK,npm run test:integration（44 tests passed）,2026-04-22,自動生成 scripts/generate-mvp-testspec-execution-report.mjs
TC-EX-OP-200IM,管理API｜operational-cancel,即時通知付き,完了,任意,tests/integration/admin-weather-op-notification-retry.integration.test.ts,npm run test:integration,integration,OK,npm run test:integration（44 tests passed）,2026-04-22,自動生成 scripts/generate-mvp-testspec-execution-report.mjs
TC-EX-UN-200,管理API｜matching undo,admin_undo_afternoon_matching: 成功,完了,必須,tests/integration/admin-undo-matching.integration.test.ts,npm run test:integration,integration,OK,npm run test:integration（44 tests passed）,2026-04-22,自動生成 scripts/generate-mvp-testspec-execution-report.mjs
TC-EX-UN-401,管理API｜matching undo,未認証 POST /api/admin/matching/undo は 401,完了,必須,tests/staging/staging-smoke.staging.test.ts,npm run test:staging,staging,OK,npm run test:staging: Tests 11 passed (11),2026-04-22,自動生成 scripts/generate-mvp-testspec-execution-report.mjs
P0,Release_Gate,Release_Gate の P0 項目をすべて完了にする,手動のみ,必須,,,manual,未実施,MVP ではブラウザ／Release_Gate 等の手動確認にて合格とする（本 CSV の自動判定では未実施扱い）,2026-04-22,自動生成 scripts/generate-mvp-testspec-execution-report.mjs
META-CI-001,（メタ）CI ゲート,GitHub Actions で毎 PR npm run test:unit が成功する,完了,必須,tests/unit/**/*.test.ts,npm run test:unit,unit,OK,npm run test:unit（60 tests passed）,2026-04-22,自動生成 scripts/generate-mvp-testspec-execution-report.mjs
META-UNIT-002,（メタ）マッチング編成,buildMatchingAssignments の代表・境界・午後・カテゴリ/学年,完了,必須,tests/unit/build-matching-assignments-*.test.ts（5 ファイル）,npx vitest run tests/unit/build-matching-assignments --config vitest.config.ts,unit,OK,npm run test:unit に含まれる build-matching-assignments 系,2026-04-22,自動生成 scripts/generate-mvp-testspec-execution-report.mjs
META-UNIT-003,（メタ）マッチング以外 unit,枠数ポリシー・締切デフォルト・assignment patch 検証,完了,必須,"""tests/unit/event-day-slot-count-policy.test.ts; tests/unit/reservation-deadline-default.test.ts; tests/unit/match-assignment-patch-validation.test.ts""",npm run test:unit,unit,OK,npm run test:unit に含まれるその他 unit,2026-04-22,自動生成 scripts/generate-mvp-testspec-execution-report.mjs
META-INT-004,（メタ）admin_apply_matching_run,not_locked 拒否と locked 後の編成適用縦割り,完了,必須,tests/integration/admin-apply-matching-run.integration.test.ts,npm run test:integration,integration,OK,npm run test:integration admin-apply-matching-run.integration.test.ts（2 tests）,2026-04-22,自動生成 scripts/generate-mvp-testspec-execution-report.mjs
__SUMMARY__,件数サマリ（データ行は AL-001〜P0 の 51 行。メタ行 META-* は別枠）,,,,,,集計,,,,台帳サマリ行（試験結果列は対象外）
__SUMMARY__,MVP+P0 データ行数,,,,,,集計,,,,台帳サマリ行（試験結果列は対象外）
__SUMMARY__,CI対象か=yes（MVP 行のみ）,,,,,,集計,,,,台帳サマリ行（試験結果列は対象外）
__SUMMARY__,CI対象か=yes（メタ META-CI-001 / META-UNIT-002 / META-UNIT-003）,,,,,,集計,,,,台帳サマリ行（試験結果列は対象外）
__SUMMARY__,自動のみ（MVP 行・手動要否=no かつ 自動判定=yes）,,,,,,集計,,,,台帳サマリ行（試験結果列は対象外）
__SUMMARY__,自動＋手動（MVP 行・手動要否=yes かつ 自動判定=partial）,,,,,,集計,,,,台帳サマリ行（試験結果列は対象外）
__SUMMARY__,台帳状態=一部（MVP 行・上記に加え自動判定=partial かつ手動要否=no を含む全体）,,,,,,集計,,,,台帳サマリ行（試験結果列は対象外）
__SUMMARY__,手動のみ（MVP 行・確認方法=manual）,,,,,,集計,,,,台帳サマリ行（試験結果列は対象外）
__SUMMARY__,台帳状態=保留（MVP 行・台帳状態列が保留）,,,,,,集計,,,,台帳サマリ行（試験結果列は対象外）
__SUMMARY__,MVP 対象外（台帳状態=対象外）,,,,,,集計,,,,台帳サマリ行（試験結果列は対象外）
__SUMMARY__,メタ行（META-*）台帳状態=完了,,,,,,集計,,,,台帳サマリ行（試験結果列は対象外）
__SUMMARY__,列定義,,,,,,集計,,,,台帳サマリ行（試験結果列は対象外）
__SUMMARY__,注,,,,,,集計,,,,台帳サマリ行（試験結果列は対象外）